Sample_ID,Predicted_Sex,Sex_Numeric
1117,Male,1
11396,Female,2
11449,Male,1
11511,Male,1
11654,Female,2
11875,Male,1
11921,Male,1
11928,Male,1
12034,Female,2
12036,Male,1
12047,Female,2
12152,Male,1
12570,Male,1
12971_FC,Female,2
12972_FC,Female,2
12993,Male,1
12994_a,Female,2
13008_A,Female,2
13117,Female,2
13142,Male,1
13424,Male,1
13454,Male,1
13782,Female,2
13823_FC,Female,2
13885,Female,2
13886,Female,2
13901,Ambiguous,0
13907,Male,1
13910,Male,1
13950,Male,1
14105,Male,1
14149,Female,2
14205,Male,1
14211,Female,2
14284,Male,1
14402,Male,1
14404,Male,1
14473,Female,2
14483_FC,Female,2
14493_FC,Female,2
14501,Male,1
14510_FC,Female,2
14521,Male,1
14524,Female,2
14533,Male,1
14611_FC,Female,2
14619,Male,1
14703,Female,2
14706,Ambiguous,0
14718,Male,1
14729,Male,1
14746,Female,2
14765,Male,1
14773,Female,2
14812,Female,2
14821,Female,2
14836,Male,1
14862,Female,2
15070,Male,1
15091,Female,2
15125,Female,2
15183,Ambiguous,0
15217,Male,1
15218,Male,1
15219,Male,1
15245,Male,1
15249,Female,2
15260,Female,2
15265,Female,2
15309,Male,1
15328,Female,2
15351,Male,1
15355,Male,1
15370,Male,1
15426,Female,2
15432,Male,1
15444,Female,2
15517,Male,1
1558,Female,2
15611,Male,1
15626,Male,1
15658,Female,2
15699,Female,2
15794,Female,2
15821,Female,2
15895,Male,1
15949,Male,1
15955,Male,1
15985,Male,1
16011,Female,2
16024,Male,1
16114_FC,Male,1
16246,Female,2
16281,Male,1
16393,Female,2
16438,Ambiguous,0
16488,Male,1
16491,Male,1
16548,Female,2
16840,Female,2
16972,Male,1
17048,Male,1
17053,Male,1
17071,Male,1
17072,Male,1
17109,Female,2
17160,Female,2
17162,Male,1
17167,Male,1
17175,Male,1
17198,Female,2
17264,Male,1
17369,Male,1
17486,Female,2
17629,Male,1
17630,Female,2
17634,Female,2
17671,Male,1
17754,Male,1
17756,Female,2
17767,Male,1
17809_FC,Male,1
17812,Female,2
17883_FC,Male,1
17898,Male,1
17921,Female,2
17923,Female,2
17936,Female,2
17940,Male,1
17972,Female,2
17978,Male,1
18039,Female,2
18048,Female,2
18061,Male,1
18121,Male,1
18137,Male,1
18145,Male,1
18190_FC,Male,1
18351_FC,Male,1
18372,Female,2
18382,Male,1
19043,Female,2
1923,Female,2
2143,Male,1
